method,run,generation,best
GP_plain,3,1,8.5625
GP_plain,3,2,7.53125
GP_plain,3,3,6.59375
GP_plain,3,4,6.265625
GP_plain,3,5,5.375
GP_plain,3,6,5.1875
GP_plain,3,7,5.3125
GP_plain,3,8,5.4375
GP_plain,3,9,5.5
GP_plain,3,10,5.765625
GP_plain,3,11,5.984375
GP_plain,3,12,6.671875
GP_plain,3,13,7.4375
GP_plain,3,14,8.0
GP_plain,3,15,8.765625
GP_plain,3,16,10.296875
GP_plain,3,17,10.390625
GP_plain,3,18,10.859375
GP_plain,3,19,11.6875
GP_plain,3,20,11.796875
GP_plain,3,21,11.609375
GP_plain,3,22,10.390625
GP_plain,3,23,8.0
GP_plain,3,24,8.0
GP_plain,3,25,8.0
GP_plain,3,26,8.0
GP_plain,3,27,8.0
GP_plain,3,28,8.0
GP_plain,3,29,8.046875
GP_plain,3,30,8.046875
GP_plain,3,31,8.046875
GP_plain,3,32,8.09375
GP_plain,3,33,8.09375
GP_plain,3,34,8.328125
GP_plain,3,35,8.796875
GP_plain,3,36,9.890625
GP_plain,3,37,11.59375
GP_plain,3,38,14.0
GP_plain,3,39,14.796875
GP_plain,3,40,15.015625
GP_plain,3,41,14.109375
GP_plain,3,42,14.21875
GP_plain,3,43,14.484375
GP_plain,3,44,14.90625
GP_plain,3,45,15.09375
GP_plain,3,46,15.125
GP_plain,3,47,15.203125
GP_plain,3,48,15.375
GP_plain,3,49,15.515625
GP_plain,3,50,15.921875
GP_plain,3,51,15.875
GP_plain,3,52,15.78125
GP_plain,3,53,15.578125
GP_plain,3,54,15.40625
GP_plain,3,55,15.234375
GP_plain,3,56,15.390625
GP_plain,3,57,15.796875
GP_plain,3,58,16.0
GP_plain,3,59,16.0
GP_plain,3,60,16.0
GP_plain,3,61,16.0
GP_plain,3,62,16.0
GP_plain,3,63,16.0
GP_plain,4,0,7.171875
GP_plain,4,1,5.8125
GP_plain,4,2,4.1875
GP_plain,4,3,3.5625
GP_plain,4,4,2.53125
GP_plain,4,5,1.984375
GP_plain,4,6,2.703125
GP_plain,4,7,4.015625
GP_plain,4,8,7.375
GP_plain,4,9,7.984375
GP_plain,4,10,8.015625
GP_plain,4,11,8.796875
GP_plain,4,12,8.4375
GP_plain,4,13,9.25
GP_plain,4,14,9.90625
GP_plain,4,15,9.78125
GP_plain,4,16,9.078125
GP_plain,4,17,8.078125
GP_plain,4,18,8.203125
GP_plain,4,19,8.421875
GP_plain,4,20,8.53125
GP_plain,4,21,8.28125
GP_plain,4,22,7.875
GP_plain,4,23,7.09375
GP_plain,4,24,7.0
GP_plain,4,25,7.0
GP_plain,4,26,7.0
GP_plain,4,27,7.0
GP_plain,4,28,7.09375
GP_plain,4,29,7.1875
GP_plain,4,30,7.46875
GP_plain,4,31,8.40625
GP_plain,4,32,9.796875
GP_plain,4,33,12.609375
GP_plain,4,34,13.921875
GP_plain,4,35,15.328125
GP_plain,4,36,17.296875
GP_plain,4,37,19.0
GP_plain,4,38,19.0
GP_plain,4,39,19.0
GP_plain,4,40,19.0
GP_plain,4,41,19.0
GP_plain,4,42,19.0
GP_plain,4,43,19.0
GP_plain,4,44,18.984375
GP_plain,4,45,19.171875
GP_plain,4,46,19.625
GP_plain,4,47,20.53125
GP_plain,4,48,21.90625
GP_plain,4,49,23.984375
GP_plain,4,50,23.578125
GP_plain,4,51,21.703125
GP_plain,4,52,18.9375
GP_plain,4,53,14.484375
GP_plain,4,54,14.96875
GP_plain,4,55,20.015625
GP_plain,4,56,27.734375
GP_plain,4,57,31.0
GP_plain,4,58,31.0
GP_plain,4,59,31.0
GP_plain,4,60,31.0
GP_plain,4,61,31.0
GP_plain,4,62,31.0
GP_plain,4,63,31.0
GP_plain,5,0,6.953125
GP_plain,5,1,6.734375
GP_plain,5,2,5.921875
GP_plain,5,3,5.96875
GP_plain,5,4,6.65625
GP_plain,5,5,5.03125
GP_plain,5,6,4.96875
GP_plain,5,7,5.09375
GP_plain,5,8,5.4375
GP_plain,5,9,5.4375
GP_plain,5,10,5.84375
GP_plain,5,11,5.5625
GP_plain,5,12,5.0
GP_plain,5,13,5.0
GP_plain,5,14,5.0
GP_plain,5,15,5.0
GP_plain,5,16,5.0
GP_plain,5,17,5.0
GP_plain,5,18,5.0
GP_plain,5,19,5.0
GP_plain,5,20,5.0
GP_plain,5,21,5.0
GP_plain,5,22,5.0
GP_plain,5,23,5.0
GP_plain,5,24,5.0
GP_plain,5,25,5.0
GP_plain,5,26,5.0
GP_plain,5,27,5.0
GP_plain,5,28,5.0
GP_plain,5,29,5.0
GP_plain,5,30,5.0
GP_plain,5,31,5.0
GP_plain,5,32,5.0
GP_plain,5,33,5.0
GP_plain,5,34,5.0
GP_plain,5,35,5.0
GP_plain,5,36,5.0
GP_plain,5,37,5.0
GP_plain,5,38,5.0
GP_plain,5,39,5.0
GP_plain,5,40,5.0
GP_plain,5,41,5.0
GP_plain,5,42,5.0
GP_plain,5,43,5.0
GP_plain,5,44,5.0
GP_plain,5,45,5.0
GP_plain,5,46,5.0
GP_plain,5,47,5.0
GP_plain,5,48,5.0
GP_plain,5,49,5.0
GP_plain,5,50,5.0
GP_plain,5,51,5.0
GP_plain,5,52,5.0
GP_plain,5,53,5.125
GP_plain,5,54,5.125
GP_plain,5,55,5.125
GP_plain,5,56,5.375
GP_plain,5,57,5.75
GP_plain,5,58,6.125
GP_plain,5,59,7.625
GP_plain,5,60,10.625
GP_plain,5,61,13.0
GP_plain,5,62,13.3125
GP_plain,5,63,13.625
GP_plain,6,0,8.046875
GP_plain,6,1,7.78125
GP_plain,6,2,6.765625
GP_plain,6,3,6.46875
GP_plain,6,4,6.109375
GP_plain,6,5,4.59375
GP_plain,6,6,4.0
GP_plain,6,7,4.75
GP_plain,6,8,5.59375
GP_plain,6,9,6.6875
GP_plain,6,10,7.9375
GP_plain,6,11,9.125
GP_plain,6,12,11.40625
GP_plain,6,13,12.8125
GP_plain,6,14,13.0
GP_plain,6,15,12.9375
GP_plain,6,16,12.875
GP_plain,6,17,12.75
GP_plain,6,18,12.6875
GP_plain,6,19,11.9375
GP_plain,6,20,11.1875
GP_plain,6,21,10.25
GP_plain,6,22,9.0
GP_plain,6,23,9.0
GP_plain,6,24,9.0
GP_plain,6,25,9.0
GP_plain,6,26,9.0
GP_plain,6,27,9.046875
GP_plain,6,28,9.046875
GP_plain,6,29,9.046875
GP_plain,6,30,9.140625
GP_plain,6,31,9.328125
GP_plain,6,32,9.75
GP_plain,6,33,10.546875
GP_plain,6,34,11.484375
GP_plain,6,35,12.0
GP_plain,6,36,12.0
GP_plain,6,37,12.0
GP_plain,6,38,12.0
GP_plain,6,39,12.0
GP_plain,6,40,12.0
GP_plain,6,41,12.0
GP_plain,6,42,12.0
GP_plain,6,43,12.0
GP_plain,6,44,12.015625
GP_plain,6,45,12.046875
GP_plain,6,46,12.171875
GP_plain,6,47,12.34375
GP_plain,6,48,12.640625
GP_plain,6,49,13.0
GP_plain,6,50,13.0
GP_plain,6,51,13.0
GP_plain,6,52,13.0
GP_plain,6,53,13.0
GP_plain,6,54,13.0
GP_plain,6,55,13.0
GP_plain,6,56,13.0
GP_plain,6,57,13.0
GP_plain,6,58,13.0
GP_plain,6,59,13.0
GP_plain,6,60,13.0
GP_plain,6,61,13.0
GP_plain,6,62,13.0
GP_plain,6,63,13.0
GP_plain,7,0,6.4375
GP_plain,7,1,8.234375
GP_plain,7,2,7.640625
GP_plain,7,3,6.21875
GP_plain,7,4,5.765625
GP_plain,7,5,5.671875
GP_plain,7,6,5.15625
GP_plain,7,7,4.5
GP_plain,7,8,4.84375
GP_plain,7,9,5.453125
GP_plain,7,10,6.125
GP_plain,7,11,6.203125
GP_plain,7,12,6.265625
GP_plain,7,13,6.40625
GP_plain,7,14,6.546875
GP_plain,7,15,6.859375
GP_plain,7,16,7.1875
GP_plain,7,17,7.453125
GP_plain,7,18,7.8125
GP_plain,7,19,8.34375
GP_plain,7,20,8.5625
GP_plain,7,21,8.6875
GP_plain,7,22,8.5
GP_plain,7,23,7.984375
GP_plain,7,24,7.390625
